file_name,spectra_name,cluster,rho,delta
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.530.530.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=530",3802
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.531.531.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=531",3902
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.532.532.5 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=532",4002
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.534.534.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=534",4102
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.535.535.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=535",4202
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.536.536.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=536",4302
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.537.537.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=537",4402
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.538.538.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=538",4502
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.540.540.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=540",4602
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.541.541.2 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=541",4702
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.542.542.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=542",4802
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.543.543.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=543",4902
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.544.544.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=544",5002
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.546.546.2 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=546",5102
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.547.547.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=547",5202
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.548.548.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=548",5302
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.549.549.5 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=549",5402
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.550.550.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=550",5502
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.552.552.5 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=552",5602
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.553.553.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=553",5702
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.554.554.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=554",5802
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.555.555.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=555",5902
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.556.556.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=556",6002
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.558.558.4 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=558",6102
datasets_f/US_113_022114_01.mgf,TITLE=US_113_022114_01.559.559.3 File:"", NativeID:"controllerType=0 controllerNumber=1 scan=559",6202
